Episode,Reward,AvgLoss,Epsilon
1,1068270,60.79556894310062,0.6067217488658921
2,5908815,15.135028588316143,0.36799350260480307
3,8903755,9.02133718197465,0.2231982258959436
4,10658615,5.027325242938995,0.13537589030911776
5,11815835,3.6908939579566566,0.08210921750574482
6,12463815,208.91864544265746,0.04980150885073586
7,12881405,206.9591957359314,0.030205990985560104
8,13150105,205.29012500152587,0.01832076803444588
9,13310565,203.2141056552124,0.011112051961229536
10,13356895,204.35393270736694,0.0099998413409533
11,13353615,205.74171400390625,0.0099998413409533
12,13355410,202.9608599127197,0.0099998413409533
13,13357245,201.16504292099,0.0099998413409533
14,13361105,202.30657292419434,0.0099998413409533
15,13378450,198.3869991291809,0.0099998413409533
16,13364435,199.89853471115111,0.0099998413409533
17,13375240,196.14812349227904,0.0099998413409533
18,13363405,201.3093134199524,0.0099998413409533
19,13361955,201.7334339906311,0.0099998413409533
20,13374070,198.15040144577026,0.0099998413409533
21,13375030,193.3024134187317,0.0099998413409533
22,13378315,190.39305849899293,0.0099998413409533
23,13386370,189.93567103378297,0.0099998413409533
24,13374785,191.0654235496521,0.0099998413409533
25,13375915,189.77132932800293,0.0099998413409533
