Episode,Reward,AvgLoss,Epsilon
1,1072520,61.29851502444556,0.6067217488658921
2,5902300,15.08728993875295,0.36799350260480307
3,8901965,9.922034767853022,0.2231982258959436
4,10648025,6.954155756476372,0.13537589030911776
5,11804150,6.063012767616287,0.08210921750574482
6,12448890,219.65782382934572,0.04980150885073586
7,12865745,220.0913680545044,0.030205990985560104
8,13139465,218.68395442474366,0.01832076803444588
9,13302810,215.73821584091186,0.011112051961229536
10,13346965,218.579787756958,0.0099998413409533
11,13348195,216.83894928085329,0.0099998413409533
12,13353965,214.62356031143187,0.0099998413409533
13,13353600,212.98780292175292,0.0099998413409533
14,13353655,214.89079906814575,0.0099998413409533
15,13375905,208.89104081008912,0.0099998413409533
16,13370680,199.52473894760132,0.0099998413409533
17,13365165,199.23818540603637,0.0099998413409533
18,13360050,201.50574199401856,0.0099998413409533
19,13356830,203.277346774292,0.0099998413409533
20,13362030,201.39664769973754,0.0099998413409533
21,13373250,204.94748944747926,0.0099998413409533
22,13369380,202.76876130310058,0.0099998413409533
23,13386870,201.3271153088379,0.0099998413409533
24,13371860,202.2640683114624,0.0099998413409533
25,13368295,202.99792965072632,0.0099998413409533
